state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts,district,election_year,total_pop,male_pop_percent,female_pop_percent,under_five_percent,five_to_nine_percent,ten_to_fourteen_percent,fifteen_nineteen_percent,twenty_to_twentyfour_percent,twentyfive_to_thirtyfour_percent,thirtyfive_to_fortyfour_percent,fortyfive_to_fiftyfour_percent,fiftyfive_to_fiftynine_percent,sixty_to_sixtyfour_percent,sixtyfive_to_seventyfour_percent,seventyfive_to_eightyfour_percent,over_eightyfive_percent,median_age,eighteen_and_over_percent,twentyone_and_over_percent,sixtytwo_and_over_percent,sixtyfive_and_over_percent,eighteen_and_over_male_percent,eighteen_and_over_female_percent,sixtyfive_and_over_male_percent,sixtyfive_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units,last_name,first_name,prefix,first_last_name,district_from_length,candidate_name,spent,won,lost,incumbent,challenger,open_seat,election_year_from_length,party_from_length,year,Last_name,firstlast_name
TX24,2014,MCGEHEARTY PATRICK  FABIAN,Democratic Party,Challenger,9496,2796,0,1500,7721,1773,1500,TX24,2014,741164,49.7,50.3,6.7,6.6,6.8,5.6,6.7,17,15.5,14.4,6.1,4.7,5.7,2.9,1.2,35.4,76.2,72.9,12.5,9.9,49.2,50.8,45,55,50.6,10.2,0.2,12.5,0.2,0.3,23.7,315779,Mcgehearty,Patrick, Fabian,Patrick Mcgehearty,,,,,,,,,,,,,
ME02,2014,WILLETTE ALEXANDER REGINALD,Republican Party,Open,9543,8544,999,0,9543,0,0,ME02,2014,657588,49.2,50.8,5,5.2,5.8,6.3,6.1,11.1,11.6,15.1,8.2,7.4,10.4,5.7,2.1,44.1,80.2,76,22.4,18.1,48.5,51.5,46.1,53.9,94.4,0.5,0.8,0.7,0,0,1.3,373587,Willette,Alexander,Reginald,Alexander Willette,,,,,,,,,,,,,
MN06,2014,SIVARAJAH RHONDA,Republican Party,Open,403018.3,77323.24,1000,323750.45,191805.93,211212.37,180000,MN06,2014,675687,50.5,49.5,6.6,7.8,7.3,7.5,6.5,12.9,13.4,15.3,6.1,5.7,6.6,3.2,1.2,36.2,73.9,69.2,14.1,11,49.9,50.1,45.9,54.1,90.7,2.4,0.4,2.1,0,0,2.6,257930,Sivarajah,Rhonda,,Rhonda Sivarajah,,,,,,,,,,,,,
CA24,2014,COYNE PAUL H JR,Democratic Party,Challenger,64879.45,10799.45,0,54080,64693.1,186.35,54080,CA24,2014,722008,50.6,49.4,5.8,5.6,5.8,8.2,11.1,12.5,11.2,12.3,6.8,5.6,8.2,4.6,2.3,35.9,79.2,71.8,18.1,15,50.5,49.5,44.8,55.2,55.8,1.8,0.4,4.4,0.1,0.1,35.2,277128,Coyne,Paul,H Jr,Paul Coyne,,,,,,,,,,,,,
MN02,2014,GERSON DAVID ADAM,Republican Party,Challenger,114522.79,11031.54,0,103491.25,114014.2,2036.86,147176.41,MN02,2014,681195,49.2,50.8,6.7,7.3,7.3,7,5.8,12.9,13.5,15.6,6.6,5.6,6.8,3.6,1.3,37.3,74.3,70.6,15,11.7,48.9,51.1,44.2,55.8,83,4,0.4,4.5,0,0.1,5.6,264410,Gerson,David,Adam,David Gerson,,,,,,,,,,,,,
LA06,2014,MCCULLOCH CRAIG,Republican Party,Open,257176,55176,1000,201000,163807.72,93368.28,201000,LA06,2014,773429,48.7,51.3,6.3,7,7,6.9,8.3,14.3,12.5,13.4,6.6,5.6,7.1,3.4,1.5,35.1,75.8,70.9,15.2,12,48.2,51.8,44.6,55.4,67.9,24.1,0.4,2,0,0.1,4,318363,Mcculloch,Craig,,Craig Mcculloch,,,,,,,,,,,,,
NY21,2014,RING MICHAEL F,Republican Party,Open,1970,0,0,1970,1963,7,0,NY21,2014,716340,51.3,48.7,5.8,5.8,5.9,6.7,7.5,12.6,11.8,15,7.5,5.7,9,4.8,2.1,40.4,78.9,74.3,19.2,15.8,51.3,48.7,45,55,90.2,2.8,0.7,0.8,0.2,0.1,3.2,368039,Ring,Michael,F,Michael Ring,,,,,,,,,,,,,
NM01,2014,MCENTEE MICHAEL E,Republican Party,Challenger,10896,10896,0,0,10896,0,0,NM01,2014,694442,49.2,50.8,6.2,6.4,6.6,6.4,7.5,14.6,12,13.5,6.8,6.2,8.1,3.9,1.8,36.9,77,72.9,17.4,13.8,48.7,51.3,44,56,40.9,2.5,3.3,2.2,0.1,0.2,48.9,295647,Mcentee,Michael,E,Michael Mcentee,,,,,,,,,,,,,
CA33,2014,MILLER MATTHEW LOUIS,Democratic Party,Open,853640.16,836241.08,12100,5200,837853.7,15786.46,0,CA33,2014,717954,48.2,51.8,5.3,5.1,5.2,6.2,6.5,13.9,14,15.6,6.7,5.5,8.3,5.1,2.7,40.8,81.1,76.6,19.2,16.1,47.9,52.1,45.1,54.9,66.3,2.7,0.2,13.9,0.1,0.4,12.9,328790,Miller,Matthew,Louis,Matthew Miller,,,,,,,,,,,,,
MO05,2014,BURRIS MICHAEL CRAIG,Republican Party,Challenger,6891.03,6790,0,101,2912.45,3978.58,0,MO05,2014,758911,48.7,51.3,7,6.1,6.5,5.7,7,15.2,12.3,13.8,6.6,5.8,7.7,4.2,2,36.8,76.7,73.3,17.1,14,48.1,51.9,42.2,57.8,65.5,21.3,0.3,1.5,0.3,0.3,8.4,355035,Burris,Michael,Craig,Michael Burris,,,,,,,,,,,,,
FL13,2014,ZOLLER NICHOLAS,Republican Party,Open,18469,18469,0,0,18467.7,0,0,FL13,2014,699288,47.9,52.1,4.6,4.2,5.1,4.8,5.1,11.3,11.2,15.1,7.8,7.2,12,8,3.4,48,83.2,80.3,27.9,23.5,47.3,52.7,43.6,56.4,78.8,5.8,0.2,3.5,0,0.2,9,386949,Zoller,Nicholas,,Nicholas Zoller,,,,,,,,,,,,,
CA25,2014,THOMAS EVAN CHARLES,Democratic Party,Open,14777,8525,0,6252,12921,1856,500,CA25,2014,716815,49.9,50.1,7,7.6,8.2,7.9,6.6,11.9,13,15.5,6.5,5.1,6.7,2.6,1.4,35.7,72.4,68.1,13.6,10.7,49.3,50.7,44.5,55.5,44.4,7.6,0.4,7.4,0.1,0.2,36.6,240051,Thomas,Evan,Charles,Evan Thomas,,,,,,,,,,,,,
NC03,2014,THIGPEN JASON RAY,Democratic Party,Challenger,45136.44,34111.44,0,10025,38420.12,1623.34,5600,NC03,2014,749521,51.2,48.8,6.1,6.1,5.6,7,11.8,13.6,11.6,12.3,6.2,5.4,8.8,4.2,1.4,34.9,78.9,72.3,17.4,14.3,51.4,48.6,45.6,54.4,70.5,17.7,0.3,1.5,0.1,0.2,7.5,370338,Thigpen,Jason,Ray,Jason Thigpen,,,,,,,,,,,,,
LA06,2014,DIETZEL  PAUL II,Republican Party,Open,429201.3,411971.12,15325,1738.93,317701.59,111499.71,0,LA06,2014,773429,48.7,51.3,6.3,7,7,6.9,8.3,14.3,12.5,13.4,6.6,5.6,7.1,3.4,1.5,35.1,75.8,70.9,15.2,12,48.2,51.8,44.6,55.4,67.9,24.1,0.4,2,0,0.1,4,318363,Dietzel,,Paul Ii, Dietzel,,,,,,,,,,,,,
VA05,2014,HUDSON BENJAMIN LENWARD,Democratic Party,Challenger,46692,2907,0,42440,9629,37063,0,VA05,2014,735799,48.8,51.2,5.2,6.3,5.9,7.1,6.4,11.3,11.5,14.4,7.2,6.7,10.5,5.2,2,41.7,78.9,73.8,21.7,17.7,48.4,51.6,44.3,55.7,72.9,19.9,0.1,1.4,0,0.1,3.3,346891,Hudson,Benjamin,Lenward,Benjamin Hudson,,,,,,,,,,,,,
MA02,2014,DUBRULE DANIEL D,Republican Party,Challenger,251,251,0,0,12000,-11749,0,MA02,2014,738642,48.7,51.3,5.4,5.7,6.1,8.2,8.6,12.1,12.2,15.5,6.9,5.7,7.5,3.9,2.1,38.2,78.8,72.5,16.8,13.6,48,52,43,57,79.4,4.6,0.2,5.2,0,0.1,9,296442,Dubrule,Daniel,D,Daniel Dubrule,,,,,,,,,,,,,
NM03,2014,BYRD JEFFERSON LEE,Republican Party,Challenger,27564.93,23347.61,250,3967.32,18682.86,9113.72,0,NM03,2014,693818,49.3,50.7,6.7,7.2,6.8,7,6.5,12,12.8,12.8,6.8,6.5,8.9,4.5,1.5,38.1,75.2,71,18.6,14.9,48.8,51.2,45.5,54.5,38.5,1.2,17.4,1,0.1,0.1,40,307388,Byrd,Jefferson,Lee,Jefferson Byrd,,,,,,,,,,,,,
NV03,2014,KASSELA FRANK,Democratic Party,Challenger,33911,8911,0,25000,33911,0,0,NV03,2014,720438,49.2,50.8,6,6.7,6.3,5.2,5.3,14.4,14.9,14.2,6.3,5.6,10,3.6,1.4,39.2,77.6,75.1,18.4,15.1,49,51,47.1,52.9,59.6,6.6,0.4,13.4,0.8,0.1,15.3,317356,Kassela,Frank,,Frank Kassela,,,,,,,,,,,,,
NC05,2014,"'BRANNON JOSHUA '""'""JOSH'""'"" ETHAN'""""",Democratic Party,Challenger,5325,5325,0,0,0,5325,0,NC05,2014,745928,48.6,51.4,5.6,6.3,5.9,6.8,7.7,11.2,12.7,14,7.6,5.9,9.4,4.8,2.1,40.6,78.6,73.5,19.6,16.3,47.8,52.2,43.2,56.8,76,12.7,0.2,1.4,0,0,8.2,350580,"'Brannon""",Joshua,"''""Josh'""'"" Ethan'""""","Joshua 'Brannon""",,,,,,,,,,,,,
CA12,2014,STEGER MICHAEL G,Democratic Party,Challenger,31278.39,24741.39,6500,0,31242.46,35.93,925,CA12,2014,734662,50.8,49.2,4.7,3.5,3.2,3.2,5.9,23.5,16.8,13.6,5.8,5.8,7.4,4.4,2.3,38.4,86.7,84.4,17.4,14,50.9,49.1,43.8,56.2,42.9,5.5,0.1,31.5,0.4,0.6,15.5,345956,Steger,Michael,G,Michael Steger,,,,,,,,,,,,,
MO05,2014,HOLMES ERIC,Democratic Party,Challenger,8530.49,7330.99,0,1199.5,3437.5,4378.6,0,MO05,2014,758911,48.7,51.3,7,6.1,6.5,5.7,7,15.2,12.3,13.8,6.6,5.8,7.7,4.2,2,36.8,76.7,73.3,17.1,14,48.1,51.9,42.2,57.8,65.5,21.3,0.3,1.5,0.3,0.3,8.4,355035,Holmes,Eric,,Eric Holmes,,,,,,,,,,,,,
CA15,2014,HOSTERMAN JENNIFER,Democratic Party,Challenger,2950,2950,0,0,3152.23,0,0,CA15,2014,734837,48.8,51.2,6.7,7,6.6,6.3,5.9,13.4,14.9,14.8,6.8,5.6,7,3.3,1.7,37.9,75.7,72.4,15.5,12,48.5,51.5,43.4,56.6,35.3,5.6,0.3,29.7,1,0.2,23.8,249805,Hosterman,Jennifer,,Jennifer Hosterman,,,,,,,,,,,,,
MI08,2014,BISHOP MICHAEL D,Republican Party,Open,348667.91,249675.77,94850.14,4142,117594.41,231073.5,4142,MI08,2014,713867,49.4,50.6,5.3,5.9,6.9,8.3,8.6,11.3,12.1,15.2,7,6.3,8,3.5,1.5,38.3,77.6,71.6,16.6,13,49,51,45.8,54.2,83,4.8,0.2,3.7,0.1,0.1,5.2,293616,Bishop,Michael,D,Michael Bishop,,,,,,,,,,,,,
TX36,2014,RILEY ROBIN,Republican Party,Open,109515.68,15195,0,94320.68,109515.68,0,0,TX36,2014,710008,49.8,50.2,6.4,7.3,6.6,6.8,6.5,13.3,12.9,14.2,6.9,5.7,8,3.8,1.6,37.7,75.3,71.4,16.6,13.4,49.5,50.5,46.4,53.6,64.5,8.6,0.3,1.6,0.1,0.1,23.2,291457,Riley,Robin,,Robin Riley,,,,,,,,,,,,,
PA13,2014,SAIDEL JONATHAN,Democratic Party,Open,7800,2800,5000,0,7800,0,0,PA13,2014,710615,48.6,51.4,6.7,6,6.2,5.8,6.2,14.3,12.4,14.5,6.7,6.1,7.6,4.9,2.8,39,77.4,74.2,18.7,15.3,47.7,52.3,42.4,57.6,61.1,18,0,8.5,0,0.4,10.3,287116,Saidel,Jonathan,,Jonathan Saidel,,,,,,,,,,,,,
VA09,2014,GRIFFITH H MORGAN,Republican Party,Incumbent,746143.79,274799.26,462783.24,0,629318.43,241633.17,0,VA09,2014,721531,49.4,50.6,5,5,5.5,6.9,8.7,11.1,11.8,13.7,7.4,6.8,10.5,5.4,2.3,41.9,81.2,75.6,22.2,18.1,49,51,44.1,55.9,89.7,5.2,0.1,1.2,0,0.2,2.2,340643,Griffith,H,Morgan,H Griffith,,,,,,,,,,,,,
TN05,2014,CARTER CHRISTOPHER LYNN,Republican Party,Challenger,2899,135,0,2764,2764,135,0,TN05,2014,739937,48.5,51.5,7,6.3,5.5,5.8,7.6,18.1,13.9,13,6.4,5.3,6.3,3.4,1.3,34.7,78,73.9,14.1,11.1,47.9,52.1,41.9,58.1,60.8,24.7,0.3,2.9,0.1,0.1,9.1,321833,Carter,Christopher,Lynn,Christopher Carter,,,,,,,,,,,,,
NJ04,2014,GANDOLFO ANGELA MARIE,Democratic Party,Challenger,3765,1582,0,433,1254,2510,1000,NJ04,2014,735064,48.6,51.4,5.9,6.7,7.3,6.6,5.8,10.6,11.1,15.3,6.7,6,9.2,5.5,3.3,42.3,75.7,72.2,21.6,18,47.4,52.6,41.6,58.4,78.3,6,0,4.2,0,0.2,10.1,294366,Gandolfo,Angela,Marie,Angela Gandolfo,,,,,,,,,,,,,
CA16,2014,LEVEY MELVIN,Republican Party,Challenger,37858,27525,0,10025,37549.29,308.71,10070,CA16,2014,715257,50.2,49.8,9.2,8.8,8.4,8.3,8.3,15.2,11.9,11.5,5.1,4,5.5,2.7,1.2,29.6,68.7,63.8,11.5,9.4,49.8,50.2,45.9,54.1,23.5,5.9,0.4,9.1,0.1,0.1,59.5,223069,Levey,Melvin,,Melvin Levey,,,,,,,,,,,,,
CT04,2014,HIGBLE CARLTON MILO IV,Republican Party,Challenger,47979.01,47979.01,0,0,36998.35,9521.7,0,CT04,2014,735823,48.9,51.1,6.1,7.3,7,7.1,5.7,11.7,13.3,15.8,6.9,5.5,7.3,3.9,2.5,39.2,75.2,71.4,16.7,13.6,48.1,51.9,42,58,63.2,11.3,0.1,4.8,0,0.4,18.1,280825,Higble,Carlton,Milo Iv,Carlton Higble,,,,,,,,,,,,,
OR01,2014,MORGAN DELINDA,Republican Party,Challenger,17133.56,3293,0,2277,20019.88,836,0,OR01,2014,796901,49.5,50.5,6.2,6.5,6.9,6.2,6,14.5,14.6,13.8,6.7,5.7,7.4,3.5,1.8,37.4,76.4,72.9,16.1,12.7,48.8,51.2,44.1,55.9,72.9,1.5,0.6,6.7,0.4,0.1,14.2,324356,Morgan,Delinda,,Delinda Morgan,,,,,,,,,,,,,
KY06,2014,COBLENZ MICHAEL,Democratic Party,Challenger,8206,7600,0,606,8004,0,0,KY06,2014,744583,49,51,5.9,6.5,6.4,7.1,9,13.5,13.4,13.4,6.2,5.8,7.6,3.5,1.7,36.1,77.4,72,16.3,12.8,48.2,51.8,43,57,82.7,8.9,0.2,1.7,0,0.1,4.6,326547,Coblenz,Michael,,Michael Coblenz,,,,,,,,,,,,,
CA41,2014,GIRARD YVONNE TERRELL,Republican Party,Challenger,8005,220,0,7785,8001.24,0,0,CA41,2014,734942,48.8,51.2,7,7.9,7.9,8.7,10.2,14.2,12.8,12.9,5.2,4.6,4.7,2.8,1.1,30.4,72.2,66.3,11.2,8.6,48.5,51.5,42.8,57.2,24.6,8.6,0.3,4.8,0.3,0.1,59.3,205948,Girard,Yvonne,Terrell,Yvonne Girard,,,,,,,,,,,,,
TX14,2014,BROWN DONALD GLENN JR,Democratic Party,Challenger,10509.56,7909.56,0,0,9732.61,990.52,0,TX14,2014,716592,50.7,49.3,6.5,6.8,7,7,7.1,13.1,13.1,14.4,6.5,6.2,7,3.8,1.3,36.6,75.4,71.5,15.6,12.2,50.7,49.3,44.9,55.1,52.1,19.5,0.3,3,0,0,23.9,307142,Brown,Donald,Glenn Jr,Donald Brown,,,,,,,,,,,,,
VA08,2014,LEVINE MARK HERBERT,Democratic Party,Open,490751.64,90001.64,0,400000,465310.48,25441.16,302000,VA08,2014,774396,49.4,50.6,7.4,5.8,5.1,4.4,5.4,20.9,16.3,13.6,5.9,5,5.9,3,1.2,35.6,79,76.6,13.2,10.1,49.4,50.6,43.8,56.2,52.6,14.3,0.1,11.1,0,0.4,18.8,332960,Levine,Mark,Herbert,Mark Levine,,,,,,,,,,,,,
MO07,2014,EVANS JIM,Democratic Party,Challenger,68796,16282,0,56014,24431.94,44364.06,45000,MO07,2014,759566,48.8,51.2,6.2,6.4,6.7,6.5,8.4,12.6,11.7,13.1,6.2,6.1,9.2,4.9,1.9,37.6,76.9,72.3,19.7,16,48.1,51.9,44.4,55.6,89,1.8,0.8,1,0.1,0.1,4.6,345022,Evans,Jim,,Jim Evans,,,,,,,,,,,,,
ME02,2014,JACKSON TROY,Democratic Party,Open,329503.03,264753.03,63750,1000,327423.57,2079.46,0,ME02,2014,657588,49.2,50.8,5,5.2,5.8,6.3,6.1,11.1,11.6,15.1,8.2,7.4,10.4,5.7,2.1,44.1,80.2,76,22.4,18.1,48.5,51.5,46.1,53.9,94.4,0.5,0.8,0.7,0,0,1.3,373587,Jackson,Troy,,Troy Jackson,,,,,,,,,,,,,
AK01,2014,VONDERSAAR FRANK J,Democratic Party,Challenger,500,0,0,500,400,100,500,AK01,2014,735132,52.6,47.4,7.4,6.9,7.2,7.2,8.3,15.5,12.2,13.8,7.2,5.4,5.9,2.3,0.8,33.1,74.4,69.5,11.9,8.9,52.8,47.2,49.8,50.2,62.5,3.3,13.9,5.6,1.2,0.1,6.6,307417,Vondersaar,Frank,J,Frank Vondersaar,,,,,,,,,,,,,
NE02,2014,FREI DANIEL EDWARD,Republican Party,Challenger,51360.5,36360.5,0,15000,51359.73,0.49,0,NE02,2014,634418,49.3,50.7,7.6,7.3,7.4,6.7,6.5,15.9,13.4,13.1,6,5.2,6.1,3.4,1.4,34.1,73.5,69.7,13.7,10.9,48.8,51.2,42.8,57.2,73.9,9.5,0.3,2.8,0.1,0.3,10.6,259627,Frei,Daniel,Edward,Daniel Frei,,,,,,,,,,,,,
WV02,2014,MOONEY ALEXANDER XAVIER,Republican Party,Challenger,1025152.51,740943.73,278837.25,0,709591.3,352801.03,109789,WV02,2014,626979,48.8,51.2,5.6,5.8,6.4,6.4,5.9,11.4,12.7,14.5,7.5,7.1,9.6,5.3,1.9,42,78.4,74.7,21.1,16.8,48.5,51.5,44.7,55.3,90.7,3.7,0.1,0.6,0.1,0.2,1.9,293831,Mooney,Alexander,Xavier,Alexander Mooney,,,,,,,,,,,,,
MN06,2014,GRAVES JAMES JOSEPH,Other,Open,232812.92,229363.36,1000,0,253646.42,7346.79,201797.92,MN06,2014,675687,50.5,49.5,6.6,7.8,7.3,7.5,6.5,12.9,13.4,15.3,6.1,5.7,6.6,3.2,1.2,36.2,73.9,69.2,14.1,11,49.9,50.1,45.9,54.1,90.7,2.4,0.4,2.1,0,0,2.6,257930,Graves,James,Joseph,James Graves,,,,,,,,,,,,,
TX18,2014,DUHON MAURICE ,Other,Challenger,50,0,0,50,0,50,0,TX18,2014,741385,49.9,50.1,8.5,7.7,6.4,6.9,8,17.6,13.7,12.2,5.9,4.5,5.3,2.2,1.1,32,73.4,68.7,11.1,8.5,49.7,50.3,42.1,57.9,17.2,37,0,3.7,0.1,0.2,40.4,293064,Duhon,Maurice,,Maurice Duhon,,,,,,,,,,,,,
IL08,2014,GOEL MANJU,Republican Party,Challenger,238499,205914,7575,25010,238499,0,0,IL08,2014,715255,49.8,50.2,7,7,6.3,6.4,6.6,15.3,14.5,13.7,6.4,5.5,6.8,3.1,1.3,36,75.6,72,14.4,11.2,48.7,51.3,41.2,58.8,54.1,4.7,0.1,11.4,0,0.2,28,270600,Goel,Manju,,Manju Goel,,,,,,,,,,,,,
WA05,2014,WILSON DAVID J,Other,Challenger,25015,14015,0,11000,21249.87,7986.98,0,WA05,2014,681812,49.8,50.2,5.8,6.1,6.3,7.3,8.6,13.2,11.6,12.8,6.8,6.5,8.6,4.6,2,37.5,78.1,72.2,18.8,15.1,49.5,50.5,44.9,55.1,84.7,1.7,1.3,2.5,0.3,0,6.2,296537,Wilson,David,J,David Wilson,,,,,,,,,,,,,
PA16,2014,KITTAPPA RAJA,Democratic Party,Challenger,9827,9827,0,0,3753.3,6073.7,0,PA16,2014,712447,48.8,51.2,6.6,7.2,7,7.1,7,12.1,12.2,14,6.3,5.8,7.7,4.8,2.3,37.7,75.1,70.4,18.3,14.8,48.3,51.7,44.1,55.9,73.4,5.8,0.1,1.8,0,0.2,17.3,277750,Kittappa,Raja,,Raja Kittappa,,,,,,,,,,,,,
UT02,2014,BARRON BILL,Other,Challenger,8998.62,8985,0,10,6402,5624,0,UT02,2014,715552,50.4,49.6,8,7.9,8,7.5,8.4,15.1,12.5,10.2,5.1,5.1,6.8,3.8,1.6,31.9,71.5,66.6,15,12.2,50.2,49.8,47,53,77.7,1.1,1.1,2.1,1.7,0.2,14.3,274306,Barron,Bill,,Bill Barron,,,,,,,,,,,,,
CA31,2014,REYES ELOISE GOMEZ,Democratic Party,Open,1017044.81,819351.62,72401.54,110588.17,1006887.08,10157.73,132159.9,CA31,2014,725024,49.8,50.2,7.9,7.4,7.8,8,8.5,14.9,13.6,12.3,5.5,4.7,5.5,2.7,1.2,31.8,72.4,67.1,11.9,9.4,49.2,50.8,44.8,55.2,28.5,10.4,0.2,7.1,0.2,0.3,51.6,229671,Reyes,Eloise,Gomez,Eloise Reyes,,,,,,,,,,,,,
MI12,2014,MULLINS RAYMOND GLENN,Democratic Party,Open,4984.21,4984.21,0,0,4791.32,192.89,0,MI12,2014,711313,48.8,51.2,6,6.3,6.2,7.4,9.9,13.1,12.9,13.4,6.4,5.7,7,3.8,1.9,35.8,77.8,72.2,16.2,12.8,48.1,51.9,43.3,56.7,76,10.1,0.3,5.1,0,0.2,5.4,292753,Mullins,Raymond,Glenn,Raymond Mullins,,,,,,,,,,,,,
CA48,2014,LEECE WENDY BROOKS,Republican Party,Challenger,12082,5941,0,1806,12354,2,0,CA48,2014,723140,49.6,50.4,5.2,5.7,6.2,5.8,6.8,13.6,14.5,14.9,6.9,5.7,8.5,4.4,1.9,40.3,79,75.6,17.9,14.8,49.2,50.8,43.4,56.6,55.8,1,0.2,18.8,0.4,0.1,21,282630,Leece,Wendy,Brooks,Wendy Leece,,,,,,,,,,,,,
CA01,2014,LEVINE DAN,Democratic Party,Challenger,1750,500,1000,250,1740,10,646.62,CA01,2014,707992,50.6,49.4,5,5.9,5.7,6.5,7.9,11.2,10.5,13.3,7.8,7.2,10.7,5.6,2.6,42.4,79.6,75.2,23,18.9,49.9,50.1,46.5,53.5,78.1,1.4,1.3,2.6,0.2,0,12.9,320474,Levine,Dan,,Dan Levine,,,,,,,,,,,,,
FL18,2014,HIRES BEVERLY JOY,Republican Party,Challenger,67640,12640,0,55000,63914.19,3725.81,50000,FL18,2014,705469,48.7,51.3,4.8,5.3,5.5,5.4,4.9,10.8,11.2,14.1,7.6,6.3,12.5,8.2,3.3,46.5,80.8,78,27.5,24,48.4,51.6,44.8,55.2,69.2,12.8,0.1,1.9,0,0.2,14.5,359631,Hires,Beverly,Joy,Beverly Hires,,,,,,,,,,,,,
NH02,2014,O'BRIEN WILLIAM L,Republican Party,Challenger,107094.48,41494.48,5600,60000,110736.34,-3641.86,15000,NH02,2014,660986,49.1,50.9,5,5.6,6.1,7,6.5,11,12.1,16.5,7.8,6.7,8.9,4.9,1.9,42.7,79.6,75,19.6,15.7,48.9,51.1,45.2,54.8,91.3,0.9,0.2,2.4,0,0.3,3.1,303113,O'Brien,William,L,William O'Brien,,,,,,,,,,,,,
NE01,2014,FORTENBERRY JEFFREY,Republican Party,Incumbent,594923.66,336871.69,250871.26,0,239773.89,1126096.54,0,NE01,2014,628082,49.8,50.2,6.7,7.3,6.5,7.3,8.7,13.3,11.5,13.1,6.2,5.7,7.3,4.3,2,35.2,75.6,70.2,16.8,13.7,49.5,50.5,44.4,55.6,83.8,2.8,1.1,2.3,0,0.1,8.1,264656,Fortenberry,Jeffrey,,Jeffrey Fortenberry,,,,,,,,,,,,,
AL06,2014,BEASON JASON SCOTT,Republican Party,Open,48130,39650,5000,3480,47713.18,2290.67,3480,AL06,2014,697436,48,52,5.9,6.9,7.1,6.5,5.7,13.2,14,13.8,6.7,5.9,8.5,4.4,1.5,38.7,76.1,72.6,17.7,14.4,47.2,52.8,42.4,57.6,76.7,14.9,0.3,1.6,0,0.1,5,295253,Beason,Jason,Scott,Jason Beason,,,,,,,,,,,,,
FL22,2014,RODGERS JEREMY M,Republican Party,Challenger,26560,1295,0,25265,265,26295,25000,FL22,2014,734319,50.6,49.4,4.3,4.8,4.6,4.8,5.7,13,12.5,15.1,7.5,6.4,10.7,6.8,3.9,45.2,83.6,80.6,25.3,21.4,50,50,46.3,53.7,62.1,11.6,0.2,2.6,0,0.3,21.9,405408,Rodgers,Jeremy,M,Jeremy Rodgers,,,,,,,,,,,,,
VA07,2014,TRAMMELL JOHN K,Democratic Party,Challenger,155003.13,154003.13,900,100,13803.78,141199.35,10832.35,VA07,2014,760928,48.3,51.7,5.9,6.4,7.1,6.5,5.8,12.4,13.4,15.1,7,6.2,8.2,4.2,1.7,39.6,76.6,73.1,17.9,14.1,47.8,52.2,43.9,56.1,72.5,14.5,0.1,4.7,0,0.2,5.5,303821,Trammell,John,K,John Trammell,,,,,,,,,,,,,
WA01,2014,MOATS EDWIN F,Republican Party,Challenger,7662,4794,0,2868,6256.97,537.03,1131.63,WA01,2014,709693,49.9,50.1,6.6,6.4,7,6,6,13.1,14.8,15.4,6.6,5.9,7.4,3.3,1.4,38.4,75.9,72.6,15.4,12.1,49.7,50.3,46.6,53.4,74.7,1.1,1,9.9,0.2,0.1,9.6,282720,Moats,Edwin,F,Edwin Moats,,,,,,,,,,,,,
NJ07,2014,LARSEN DAVID KENNY,Republican Party,Challenger,115683.51,38670,0,77013.51,115683.51,0,77013.51,NJ07,2014,748580,49,51,5,6.4,7.4,7.5,5.1,9.3,13.5,17.7,7.9,5.9,7.8,4,2.4,42.2,76.5,72.7,17.6,14.2,48.4,51.6,42.8,57.2,73,4.4,0.1,9,0,0.4,12,280740,Larsen,David,Kenny,David Larsen,,,,,,,,,,,,,
GA11,2014,PRIDEMORE TRICIA,Republican Party,Open,482208.66,306692.74,51300,124214.92,474795.27,7413.39,100000,GA11,2014,730150,48.8,51.2,6.2,7.7,7.1,7,6.7,14.5,15.4,14.1,5.8,4.6,6.7,3.1,1,35.5,75,70.8,13.5,10.7,48.5,51.5,43.3,56.7,67.5,14.7,0.1,3,0,0.6,12.2,293311,Pridemore,Tricia,,Tricia Pridemore,,,,,,,,,,,,,
NY12,2014,DI IORIO NICHOLAS S,Republican Party,Challenger,41198.88,40975,0,100,33724.43,7474.45,3476.92,NY12,2014,720538,45.3,54.7,4.4,2.8,2.6,3.6,7.1,27.1,15.6,11.4,5.1,5.7,7.9,4.3,2.3,36.2,88.5,85.4,17.6,14.5,45,55,41.8,58.2,65.5,4.9,0.1,13,0.2,0.3,13.6,419465,Di,Iorio,Nicholas S,Iorio Di,,,,,,,,,,,,,
SC01,2014,COLBERT BUSCH ELIZABETH,Democratic Party,Open,2161201.3,1855633.89,189902.23,9000,1898630.92,262570.38,0,SC01,2014,715200,48.5,51.5,6,6.4,6.1,6,6.7,14.7,12.8,13.5,6.2,6.1,9.5,4.5,1.5,37.7,78,74.3,19.2,15.5,47.6,52.4,46,54,70.6,19,0.2,1.7,0,0.1,6.4,331860,Colbert,Busch,Elizabeth,Busch Colbert,,,,,,,,,,,,,
