District,Winner,Winner Spent,Secong-Highest Vote-Getter,Runner-Up Spent,Ratio
FL17,Tom Rooney,"$919,686 ",April Freeman,"$149,553 ",More than 5:1 and Up to 10:1
NC08,Richard Hudson,"$2,411,377 ",Thomas Mills,"$399,170 ",More than 5:1 and Up to 10:1
KY06,Andy Barr,"$2,531,838 ",Nancy Jo Kemper,"$450,356 ",More than 5:1 and Up to 10:1
WI06,Glenn S Grothman,"$1,032,438 ",Sarah Lloyd,"$184,143 ",More than 5:1 and Up to 10:1
KS04,Mike Pompeo,"$1,447,957 ",Dan Giroux,"$262,986 ",More than 5:1 and Up to 10:1
OH04,Jim Jordan,"$421,916 ",Janet Garrett,"$78,593 ",More than 5:1 and Up to 10:1
MD02,Dutch Ruppersberger,"$1,141,646 ",Pat McDonough,"$225,613 ",More than 5:1 and Up to 10:1
AZ02,Martha McSally,"$7,826,193 ",Matt Heinz,"$1,576,118 ",More than 2:1 and Up to 5:1
ND01,Kevin Cramer,"$1,030,530 ",Chase Iron Eyes,"$211,050 ",More than 2:1 and Up to 5:1
OR05,Kurt Schrader,"$1,370,553 ",Colm Willis,"$277,853 ",More than 2:1 and Up to 5:1
VA07,Dave Brat,"$1,151,807 ",Eileen Bedell,"$247,508 ",More than 2:1 and Up to 5:1
MN01,Tim Walz,"$1,585,117 ",Jim Hagedorn,"$356,276 ",More than 2:1 and Up to 5:1
CA21,David Valadao,"$2,806,588 ",Emilio Huerta,"$648,917 ",More than 2:1 and Up to 5:1
CA27,Judy Chu,"$805,616 ",Jack Orswell,"$188,248 ",More than 2:1 and Up to 5:1
MO04,Vicky Hartzler,"$918,745 ",Gordon Christensen,"$216,037 ",More than 2:1 and Up to 5:1
NV02,Mark Amodei,"$901,689 ",Chip Evans,"$210,665 ",More than 2:1 and Up to 5:1
NJ07,Leonard Lance,"$1,276,330 ",Peter Jacob,"$305,885 ",More than 2:1 and Up to 5:1
CA53,Susan A Davis,"$470,858 ",James Veltmeyer,"$119,139 ",More than 2:1 and Up to 5:1
WI05,F James Sensenbrenner Jr.,"$296,448 ",Khary Penebaker,"$74,591 ",More than 2:1 and Up to 5:1
CA41,Mark A Takano,"$988,134 ",Doug Shepherd,"$251,903 ",More than 2:1 and Up to 5:1
FL27,Ileana Ros-Lehtinen,"$3,410,165 ",Scott Fuhrman,"$887,550 ",More than 2:1 and Up to 5:1
NY04,Kathleen Rice,"$1,623,817 ",David Gurfein,"$434,771 ",More than 2:1 and Up to 5:1
NY02,Pete King,"$1,307,660 ",DuWayne Gregory,"$372,791 ",More than 2:1 and Up to 5:1
NJ04,Chris Smith,"$661,899 ",Lorna Phillipson,"$192,636 ",More than 2:1 and Up to 5:1
CA16,Jim Costa,"$1,750,431 ",Johnny Tacherra,"$527,632 ",More than 2:1 and Up to 5:1
IA02,David Loebsack,"$681,228 ",Christopher Peters,"$208,818 ",More than 2:1 and Up to 5:1
MO02,Ann L Wagner,"$1,514,504 ",Bill Otto,"$461,336 ",More than 2:1 and Up to 5:1
IN02,Jackie Walorski,"$2,072,670 ",Lynn Coleman,"$641,589 ",More than 2:1 and Up to 5:1
TX35,Lloyd Doggett,"$421,480 ",Susan Narvaiz,"$132,119 ",More than 2:1 and Up to 5:1
CA31,Pete Aguilar,"$1,948,527 ",Paul Chabot,"$620,168 ",More than 2:1 and Up to 5:1
CA49,Darrell Issa,"$6,275,754 ",Douglas L. Applegate,"$2,041,090 ",More than 2:1 and Up to 5:1
WV02,Alex Mooney,"$1,324,070 ",Mark Hunt,"$430,478 ",More than 2:1 and Up to 5:1
CA07,Ami Bera,"$4,097,741 ",Scott Jones,"$1,347,197 ",More than 2:1 and Up to 5:1
ME01,Chellie Pingree,"$291,844 ",Mark Holbrook,"$101,156 ",More than 2:1 and Up to 5:1
MN03,Erik Paulsen,"$5,761,610 ",Terri Bonoff,"$1,970,296 ",More than 2:1 and Up to 5:1
ID01,Raul Labrador,"$860,957 ",James Piotrowski,"$309,983 ",More than 2:1 and Up to 5:1
OH01,Steve Chabot,"$689,473 ",Michele Young,"$244,709 ",More than 2:1 and Up to 5:1
CA10,Jeff Denham,"$4,174,467 ",Michael Eggman,"$1,551,905 ",More than 2:1 and Up to 5:1
FL26,Carlos Curbelo,"$3,829,677 ",Joe Garcia,"$1,395,633 ",More than 2:1 and Up to 5:1
UT04,Mia Love,"$5,480,894 ",Doug Owens,"$2,083,377 ",More than 2:1 and Up to 5:1
NM02,Steve Pearce,"$955,855 ",Merrie Lee Soules,"$387,292 ",More than 2:1 and Up to 5:1
IL12,Mike Bost,"$2,333,134 ",Charles John Baricevic,"$987,674 ",More than 2:1 and Up to 5:1
CA03,John Garamendi,"$873,293 ",N Eugene Cleek,"$380,024 ",More than 2:1 and Up to 5:1
MI08,Mike Bishop,"$1,588,375 ",Melissa Gilbert,"$701,898 ",More than 2:1 and Up to 5:1
IL11,Bill Foster,"$1,666,528 ",Tonia Khouri,"$744,893 ",More than 2:1 and Up to 5:1
MI06,Fred Upton,"$2,497,208 ",Paul Clements,"$1,144,073 ",More than 2:1 and Up to 5:1
MT01,Ryan K Zinke,"$5,935,722 ",Denise Juneau,"$2,651,885 ",More than 2:1 and Up to 5:1
NY21,Elise Stefanik,"$2,610,756 ",Mike Derrick,"$1,229,397 ",More than 2:1 and Up to 5:1
AL05,Mo Brooks,"$118,998 ",Will Boyd,"$60,771 ",Up to 2:1
NY23,Tom Reed,"$3,054,274 ",John Plumb,"$1,629,317 ",Up to 2:1
TX23,Will Hurd,"$4,109,803 ",Pete Gallego,"$2,181,644 ",Up to 2:1
VA10,Barbara Comstock,"$5,291,181 ",LuAnn Bennett,"$2,821,081 ",Up to 2:1
CA52,Scott Peters,"$2,503,992 ",Denise Gitsham,"$1,375,212 ",Up to 2:1
MA09,Bill Keating,"$443,333 ",Mark C Alliegro,"$261,780 ",Up to 2:1
MD06,John K Delaney,"$1,954,189 ",Amie Hoeber,"$1,172,569 ",Up to 2:1
SC05,Mick Mulvaney,"$1,170,967 ",Francis J Person,"$700,295 ",Up to 2:1
NY24,John Katko,"$2,384,151 ",Colleen Deacon,"$1,478,639 ",Up to 2:1
UT02,Chris Stewart,"$949,475 ",Charlene Albarran,"$585,254 ",Up to 2:1
FL03,Ted Yoho,"$772,411 ",Ken McGurn,"$601,481 ",Up to 2:1
IA03,David Young,"$2,438,370 ",Jim Mowrer,"$1,942,889 ",Up to 2:1
MD03,John Sarbanes,"$759,245 ",Mark Plaster,"$564,654 ",Up to 2:1
AK01,Don Young,"$1,313,704 ",Steve Lindbeck,"$1,083,934 ",Up to 2:1
CO03,Scott Tipton,"$1,975,233 ",Gail Schwartz,"$1,667,548 ",Up to 2:1
MI11,Dave Trott,"$1,337,399 ",Anil Kumar,"$1,109,009 ",Up to 2:1
CO06,Mike Coffman,"$3,521,511 ",Morgan Carroll,"$3,107,613 ",Up to 2:1
NY01,Lee Zeldin,"$4,079,226 ",Anna Throne-Holst,"$3,843,710 ",Up to 2:1
CA25,Steve Knight,"$1,674,967 ",Bryan Caforio,"$1,672,102 ",Up to 2:1
MI07,Tim Walberg,"$2,572,104 ",Gretchen Driskell,"$2,497,018 ",Up to 2:1
ME02,Bruce Poliquin,"$3,369,693 ",Emily Cain,"$3,460,261 ",Outspent less than 2:1
MN08,Rick Nolan,"$2,874,694 ",Stewart Mills,"$3,577,291 ",Outspent less than 2:1
IA01,Rod Blum,"$1,894,627 ",Monica Vernon,"$2,857,575 ",Outspent less than 2:1
